,,,,,,,"Financial Year","2022-23","2022-23 - RSE","2022-23 - Annotations",
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",7601,0.00,,
,,,,,,,"Yes",7520,0.00,,
,,,,,,,"Total",15121,0.00,,
,,,,"£150 - £199.99","Social renting","Working-age","No or none",3568,0.00,,
,,,,,,,"Yes",5556,0.00,,
,,,,,,,"Total",9124,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3568,0.00,,
,,,,,,,"Yes",5556,0.00,,
,,,,,,,"Total",9124,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",4256,0.00,,
,,,,,,,"Yes",768,0.00,,
,,,,,,,"Total",5024,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4256,0.00,,
,,,,,,,"Yes",768,0.00,,
,,,,,,,"Total",5024,0.00,,
,,,,,"Owned outright","Working-age","No or none",886,0.00,,
,,,,,,,"Yes",3443,0.00,,
,,,,,,,"Total",4329,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",886,0.00,,
,,,,,,,"Yes",3443,0.00,,
,,,,,,,"Total",4329,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",8710,0.00,,
,,,,,,,"Yes",9767,0.00,,
,,,,,,,"Total",18477,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",8710,0.00,,
,,,,,,,"Yes",9767,0.00,,
,,,,,,,"Total",18477,0.00,,
,,,,"£200 - £249.99","Social renting","Working-age","No or none",7798,0.00,,
,,,,,,,"Yes",8990,0.00,,
,,,,,,,"Total",16788,0.00,,
,,,,,,"Pensioner (spa)","No or none",879,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",879,0.00,,
,,,,,,"Total","No or none",8677,0.00,,
,,,,,,,"Yes",8990,0.00,,
,,,,,,,"Total",17667,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1613,0.00,,
,,,,,,,"Total",1613,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1613,0.00,,
,,,,,,,"Total",1613,0.00,,
,,,,,"Owned outright","Working-age","No or none",1639,0.00,,
,,,,,,,"Yes",2110,0.00,,
,,,,,,,"Total",3749,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1639,0.00,,
,,,,,,,"Yes",2110,0.00,,
,,,,,,,"Total",3749,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",747,0.00,,
,,,,,,,"Total",747,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",747,0.00,,
,,,,,,,"Total",747,0.00,,
,,,,,"Total","Working-age","No or none",9437,0.00,,
,,,,,,,"Yes",13460,0.00,,
,,,,,,,"Total",22897,0.00,,
,,,,,,"Pensioner (spa)","No or none",879,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",879,0.00,,
,,,,,,"Total","No or none",10316,0.00,,
,,,,,,,"Yes",13460,0.00,,
,,,,,,,"Total",23776,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",2293,0.00,,
,,,,,,,"Yes",8943,0.00,,
,,,,,,,"Total",11236,0.00,,
,,,,,,"Pensioner (spa)","No or none",976,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",976,0.00,,
,,,,,,"Total","No or none",3269,0.00,,
,,,,,,,"Yes",8943,0.00,,
,,,,,,,"Total",12212,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1862,0.00,,
,,,,,,,"Yes",2090,0.00,,
,,,,,,,"Total",3952,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1862,0.00,,
,,,,,,,"Yes",2090,0.00,,
,,,,,,,"Total",3952,0.00,,
,,,,,"Owned outright","Working-age","No or none",2881,0.00,,
,,,,,,,"Yes",1925,0.00,,
,,,,,,,"Total",4806,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2881,0.00,,
,,,,,,,"Yes",1925,0.00,,
,,,,,,,"Total",4806,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",7036,0.00,,
,,,,,,,"Yes",12958,0.00,,
,,,,,,,"Total",19994,0.00,,
,,,,,,"Pensioner (spa)","No or none",976,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",976,0.00,,
,,,,,,"Total","No or none",8012,0.00,,
,,,,,,,"Yes",12958,0.00,,
,,,,,,,"Total",20970,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",5157,0.00,,
,,,,,,,"Yes",26611,0.00,,
,,,,,,,"Total",31768,0.00,,
,,,,,,"Pensioner (spa)","No or none",1851,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1851,0.00,,
,,,,,,"Total","No or none",7008,0.00,,
,,,,,,,"Yes",26611,0.00,,
,,,,,,,"Total",33619,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",4293,0.00,,
,,,,,,,"Total",4293,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",4293,0.00,,
,,,,,,,"Total",4293,0.00,,
,,,,,"Owned outright","Working-age","No or none",3937,0.00,,
,,,,,,,"Yes",1050,0.00,,
,,,,,,,"Total",4987,0.00,,
,,,,,,"Pensioner (spa)","No or none",1876,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1876,0.00,,
,,,,,,"Total","No or none",5813,0.00,,
,,,,,,,"Yes",1050,0.00,,
,,,,,,,"Total",6863,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1188,0.00,,
,,,,,,,"Total",1188,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1188,0.00,,
,,,,,,,"Total",1188,0.00,,
,,,,,"Total","Working-age","No or none",9094,0.00,,
,,,,,,,"Yes",33142,0.00,,
,,,,,,,"Total",42236,0.00,,
,,,,,,"Pensioner (spa)","No or none",3727,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3727,0.00,,
,,,,,,"Total","No or none",12821,0.00,,
,,,,,,,"Yes",33142,0.00,,
,,,,,,,"Total",45963,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",908,0.00,,
,,,,,,,"Yes",16297,0.00,,
,,,,,,,"Total",17205,0.00,,
,,,,,,"Pensioner (spa)","No or none",786,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",786,0.00,,
,,,,,,"Total","No or none",1694,0.00,,
,,,,,,,"Yes",16297,0.00,,
,,,,,,,"Total",17991,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",840,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",840,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",852,0.00,,
,,,,,,,"Total",852,0.00,,
,,,,,,"Total","No or none",840,0.00,,
,,,,,,,"Yes",852,0.00,,
,,,,,,,"Total",1692,0.00,,
,,,,,"Owned outright","Working-age","No or none",992,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",992,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",992,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",992,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",990,0.00,,
,,,,,,,"Total",990,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",990,0.00,,
,,,,,,,"Total",990,0.00,,
,,,,,"Total","Working-age","No or none",2740,0.00,,
,,,,,,,"Yes",17287,0.00,,
,,,,,,,"Total",20027,0.00,,
,,,,,,"Pensioner (spa)","No or none",786,0.00,,
,,,,,,,"Yes",852,0.00,,
,,,,,,,"Total",1638,0.00,,
,,,,,,"Total","No or none",3526,0.00,,
,,,,,,,"Yes",18139,0.00,,
,,,,,,,"Total",21665,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",1847,0.00,,
,,,,,,,"Yes",6414,0.00,,
,,,,,,,"Total",8261,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1847,0.00,,
,,,,,,,"Yes",6414,0.00,,
,,,,,,,"Total",8261,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1246,0.00,,
,,,,,,,"Total",1246,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1246,0.00,,
,,,,,,,"Total",1246,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",3045,0.00,,
,,,,,,,"Total",3045,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",3045,0.00,,
,,,,,,,"Total",3045,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",1847,0.00,,
,,,,,,,"Yes",10705,0.00,,
,,,,,,,"Total",12552,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1847,0.00,,
,,,,,,,"Yes",10705,0.00,,
,,,,,,,"Total",12552,0.00,,
,,,"Northern Ireland (N92000002)","Less than £50","Social renting","Working-age","No or none",671,0.00,,
,,,,,,,"Yes",740,0.00,,
,,,,,,,"Total",1411,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",671,0.00,,
,,,,,,,"Yes",740,0.00,,
,,,,,,,"Total",1411,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",283,0.00,,
,,,,,,,"Yes",900,0.00,,
,,,,,,,"Total",1183,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",283,0.00,,
,,,,,,,"Yes",900,0.00,,
,,,,,,,"Total",1183,0.00,,
,,,,,"Owned outright","Working-age","No or none",2284,0.00,,
,,,,,,,"Yes",654,0.00,,
,,,,,,,"Total",2938,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2284,0.00,,
,,,,,,,"Yes",654,0.00,,
,,,,,,,"Total",2938,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1801,0.00,,
,,,,,,,"Yes",276,0.00,,
,,,,,,,"Total",2077,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1801,0.00,,
,,,,,,,"Yes",276,0.00,,
,,,,,,,"Total",2077,0.00,,
,,,,,"Total","Working-age","No or none",5039,0.00,,
,,,,,,,"Yes",2570,0.00,,
,,,,,,,"Total",7609,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5039,0.00,,
,,,,,,,"Yes",2570,0.00,,
,,,,,,,"Total",7609,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",895,0.00,,
,,,,,,,"Yes",852,0.00,,
,,,,,,,"Total",1747,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",895,0.00,,
,,,,,,,"Yes",852,0.00,,
,,,,,,,"Total",1747,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1014,0.00,,
,,,,,,,"Total",1014,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1014,0.00,,
,,,,,,,"Total",1014,0.00,,
,,,,,"Owned outright","Working-age","No or none",1606,0.00,,
,,,,,,,"Yes",1825,0.00,,
,,,,,,,"Total",3431,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1606,0.00,,
,,,,,,,"Yes",1825,0.00,,
,,,,,,,"Total",3431,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",2501,0.00,,
,,,,,,,"Yes",3691,0.00,,
,,,,,,,"Total",6192,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2501,0.00,,
,,,,,,,"Yes",3691,0.00,,
,,,,,,,"Total",6192,0.00,,
,,,,"£100 - £149.99","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1177,0.00,,
,,,,,,,"Total",1177,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1177,0.00,,
,,,,,,,"Total",1177,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",814,0.00,,
,,,,,,,"Yes",726,0.00,,
,,,,,,,"Total",1540,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",814,0.00,,
,,,,,,,"Yes",726,0.00,,
,,,,,,,"Total",1540,0.00,,
,,,,,"Owned outright","Working-age","No or none",1177,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1177,0.00,,
,,,,,,"Pensioner (spa)","No or none",902,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",902,0.00,,
,,,,,,"Total","No or none",2079,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2079,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",416,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",416,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",416,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",416,0.00,,
,,,,,"Total","Working-age","No or none",2407,0.00,,
,,,,,,,"Yes",1903,0.00,,
,,,,,,,"Total",4310,0.00,,
,,,,,,"Pensioner (spa)","No or none",902,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",902,0.00,,
,,,,,,"Total","No or none",3309,0.00,,
,,,,,,,"Yes",1903,0.00,,
,,,,,,,"Total",5212,0.00,,
,,,,"£150 - £199.99","Social renting","Working-age","No or none",1337,0.00,,
,,,,,,,"Yes",862,0.00,,
,,,,,,,"Total",2199,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1337,0.00,,
,,,,,,,"Yes",862,0.00,,
,,,,,,,"Total",2199,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1052,0.00,,
,,,,,,,"Yes",902,0.00,,
,,,,,,,"Total",1954,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1052,0.00,,
,,,,,,,"Yes",902,0.00,,
,,,,,,,"Total",1954,0.00,,
,,,,,"Owned outright","Working-age","No or none",3954,0.00,,
,,,,,,,"Yes",2371,0.00,,
,,,,,,,"Total",6325,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3954,0.00,,
,,,,,,,"Yes",2371,0.00,,
,,,,,,,"Total",6325,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1178,0.00,,
,,,,,,,"Yes",1688,0.00,,
,,,,,,,"Total",2866,0.00,,
,,,,,,"Pensioner (spa)","No or none",277,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",277,0.00,,
,,,,,,"Total","No or none",1455,0.00,,
,,,,,,,"Yes",1688,0.00,,
,,,,,,,"Total",3143,0.00,,
,,,,,"Total","Working-age","No or none",7521,0.00,,
,,,,,,,"Yes",5823,0.00,,
,,,,,,,"Total",13344,0.00,,
,,,,,,"Pensioner (spa)","No or none",277,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",277,0.00,,
,,,,,,"Total","No or none",7798,0.00,,
,,,,,,,"Yes",5823,0.00,,
,,,,,,,"Total",13621,0.00,,
,,,,"£200 - £249.99","Social renting","Working-age","No or none",1797,0.00,,
,,,,,,,"Yes",1902,0.00,,
,,,,,,,"Total",3699,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1797,0.00,,
,,,,,,,"Yes",1902,0.00,,
,,,,,,,"Total",3699,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",275,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",275,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",275,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",275,0.00,,
,,,,,"Owned outright","Working-age","No or none",2891,0.00,,
,,,,,,,"Yes",852,0.00,,
,,,,,,,"Total",3743,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2891,0.00,,
,,,,,,,"Yes",852,0.00,,
,,,,,,,"Total",3743,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",502,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",502,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",502,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",502,0.00,,
,,,,,"Total","Working-age","No or none",5465,0.00,,
,,,,,,,"Yes",2754,0.00,,
,,,,,,,"Total",8219,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5465,0.00,,
,,,,,,,"Yes",2754,0.00,,
,,,,,,,"Total",8219,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",825,0.00,,
,,,,,,,"Yes",2003,0.00,,
,,,,,,,"Total",2828,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",825,0.00,,
,,,,,,,"Yes",2003,0.00,,
,,,,,,,"Total",2828,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",606,0.00,,
,,,,,,,"Yes",1780,0.00,,
,,,,,,,"Total",2386,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",606,0.00,,
,,,,,,,"Yes",1780,0.00,,
,,,,,,,"Total",2386,0.00,,
,,,,,"Owned outright","Working-age","No or none",275,0.00,,
,,,,,,,"Yes",557,0.00,,
,,,,,,,"Total",832,0.00,,
,,,,,,"Pensioner (spa)","No or none",1177,0.00,,
,,,,,,,"Yes",1005,0.00,,
,,,,,,,"Total",2182,0.00,,
,,,,,,"Total","No or none",1452,0.00,,
,,,,,,,"Yes",1562,0.00,,
,,,,,,,"Total",3014,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",275,0.00,,
,,,,,,,"Total",275,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",275,0.00,,
,,,,,,,"Total",275,0.00,,
,,,,,"Total","Working-age","No or none",1706,0.00,,
,,,,,,,"Yes",4615,0.00,,
,,,,,,,"Total",6321,0.00,,
,,,,,,"Pensioner (spa)","No or none",1177,0.00,,
,,,,,,,"Yes",1005,0.00,,
,,,,,,,"Total",2182,0.00,,
,,,,,,"Total","No or none",2883,0.00,,
,,,,,,,"Yes",5620,0.00,,
,,,,,,,"Total",8503,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",3286,0.00,,
,,,,,,,"Yes",3655,0.00,,
,,,,,,,"Total",6941,0.00,,
,,,,,,"Pensioner (spa)","No or none",550,0.00,,
,,,,,,,"Yes",587,0.00,,
,,,,,,,"Total",1137,0.00,,
,,,,,,"Total","No or none",3836,0.00,,
,,,,,,,"Yes",4242,0.00,,
,,,,,,,"Total",8078,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",551,0.00,,
,,,,,,,"Yes",3257,0.00,,
,,,,,,,"Total",3808,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",551,0.00,,
,,,,,,,"Yes",3257,0.00,,
,,,,,,,"Total",3808,0.00,,
,,,,,"Owned outright","Working-age","No or none",2064,0.00,,
,,,,,,,"Yes",592,0.00,,
,,,,,,,"Total",2656,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",395,0.00,,
,,,,,,,"Total",395,0.00,,
,,,,,,"Total","No or none",2064,0.00,,
,,,,,,,"Yes",987,0.00,,
,,,,,,,"Total",3051,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1269,0.00,,
,,,,,,,"Total",1269,0.00,,
,,,,,,"Pensioner (spa)","No or none",275,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",275,0.00,,
,,,,,,"Total","No or none",275,0.00,,
,,,,,,,"Yes",1269,0.00,,
,,,,,,,"Total",1544,0.00,,
,,,,,"Total","Working-age","No or none",5901,0.00,,
,,,,,,,"Yes",8773,0.00,,
,,,,,,,"Total",14674,0.00,,
,,,,,,"Pensioner (spa)","No or none",825,0.00,,
,,,,,,,"Yes",982,0.00,,
,,,,,,,"Total",1807,0.00,,
,,,,,,"Total","No or none",6726,0.00,,
,,,,,,,"Yes",9755,0.00,,
,,,,,,,"Total",16481,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",1925,0.00,,
,,,,,,,"Yes",3395,0.00,,
,,,,,,,"Total",5320,0.00,,
,,,,,,"Pensioner (spa)","No or none",275,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",275,0.00,,
,,,,,,"Total","No or none",2200,0.00,,
,,,,,,,"Yes",3395,0.00,,
,,,,,,,"Total",5595,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",473,0.00,,
,,,,,,,"Yes",2847,0.00,,
,,,,,,,"Total",3320,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",473,0.00,,
,,,,,,,"Yes",2847,0.00,,
,,,,,,,"Total",3320,0.00,,
,,,,,"Owned outright","Working-age","No or none",1803,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1803,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1803,0.00,,
,,,,,,,"Yes",..,0.00,,
